Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,fair_score,fair_rank,pos_rel_score,pos_rel_rank
Reiss Nelson,FW,Arsenal,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Reiss Nelson,FW,Fulham,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1,2.1,45,35,63,0.18,0.18,0.37,0.18,,,,,,,,0.0,297.0,0.0,43.0
Neto,GK,Bournemouth,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Pedro Neto,FW,Chelsea,35,24,"2,269",25.2,4,6,10,4,0,0,8,0,3.5,3.5,6.7,10.2,126,60,253,0.16,0.24,0.4,0.16,,,,,,,,0.0,297.0,0.0,43.0
Eddie Nketiah,"FW,MF",Crystal Palace,29,9,"1,034",11.5,3,1,4,3,0,0,6,1,5.8,5.8,1.7,7.4,41,19,79,0.26,0.09,0.35,0.26,,,,,,,,0.0,297.0,0.0,30.5
Christopher Nkunku,FW,Chelsea,27,9,921,10.2,3,2,5,3,0,0,2,0,4.8,4.8,2.1,6.9,17,25,68,0.29,0.2,0.49,0.29,,,,,,,,0.0,297.0,0.0,43.0
Gustavo Nunes,"FW,MF",Brentford,3,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,30.5
Matheus Nunes,"DF,MF",Manchester City,26,19,"1,674",18.6,1,6,7,1,0,0,4,0,1.2,1.2,4.4,5.6,63,79,175,0.05,0.32,0.38,0.05,,,,,,,,0.0,297.0,0.0,8.5
Darwin Núñez,FW,Liverpool,30,8,"1,133",12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.4,0.16,0.56,0.4,,,,,,,,0.0,297.0,0.0,43.0
Ethan Nwaneri,"FW,MF",Arsenal,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,,,,,,,,0.0,297.0,0.0,30.5
Christian Nørgaard,MF,Brentford,34,34,"2,819",31.3,5,4,9,5,0,0,8,1,4.3,4.3,1.3,5.6,14,154,42,0.16,0.13,0.29,0.16,,,,,,,,0.0,297.0,0.0,56.5
Jake O'Brien,DF,Everton,20,17,"1,571",17.5,2,0,2,2,0,0,5,0,0.8,0.8,0.6,1.3,7,50,25,0.11,0,0.11,0.11,,,,,,,,0.0,297.0,0.0,93.5
Matt O'Riley,MF,Brighton,21,11,938,10.4,2,2,4,1,1,1,1,0,2.8,2,2.4,4.4,22,38,52,0.19,0.19,0.38,0.1,,,,,,,,0.0,297.0,0.0,56.5
Dara O'Shea,DF,Ipswich Town,35,35,"3,122",34.7,0,2,2,0,0,0,6,0,1.3,1.3,0.5,1.8,3,80,8,0,0.06,0.06,0,,,,,,,,0.0,297.0,0.0,93.5
Chidozie Obi-Martin,FW,Manchester Utd,7,1,165,1.8,0,0,0,0,0,0,1,0,0.7,0.7,0,0.7,2,1,12,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Wilson Odobert,"FW,MF",Tottenham,16,9,850,9.4,1,0,1,1,0,0,0,0,1.6,1.6,1,2.6,45,27,66,0.11,0,0.11,0.11,,,,,,,,0.0,297.0,0.0,30.5
Chiedozie Ogbene,FW,Ipswich Town,5,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,7,0,15,0,0,0,0,,,,,,,,0.0,297.0,0.0,43.0
Caleb Okoli,DF,Leicester City,19,12,"1,125",12.5,1,0,1,1,0,0,4,0,0.6,0.6,0,0.6,3,32,2,0.08,0,0.08,0.08,,,,,,,,0.0,297.0,0.0,93.5
Robin Olsen,GK,Aston Villa,4,1,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Amadou Onana,MF,Aston Villa,26,20,"1,617",18,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0,0.17,0.17,,,,,,,,0.0,297.0,0.0,56.5
André Onana,GK,Manchester Utd,34,34,"3,060",34,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,22.5
Paul Onuachu,FW,Southampton,25,11,"1,050",11.7,4,1,5,4,0,0,4,0,3.6,3.6,0.5,4.1,7,13,40,0.34,0.09,0.43,0.34,,,,,,,,0.0,297.0,0.0,43.0
Player,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,,,,,,,,0.0,297.0,0.0,8.5
Frank Onyeka,MF,Brentford,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
Lewis Orford,MF,West Ham,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,0.0,297.0,0.0,56.5
