date,country_name,party_name,voting_intention
2026-04-29,Great Britain,Other,5.6
2026-04-29,Great Britain,Conservative,18.28
2026-04-29,Great Britain,Green Party,16.95
2026-04-29,Great Britain,Labour,17.88
2026-04-29,Great Britain,Liberal Democrats,11.65
2026-04-29,Great Britain,Plaid Cymru,1.15
2026-04-29,Great Britain,Reform UK,25.71
2026-04-29,Great Britain,SNP,2.77
2026-04-27,Great Britain,Other,5.6
2026-04-27,Great Britain,Conservative,18.28
2026-04-27,Great Britain,Green Party,16.95
2026-04-27,Great Britain,Labour,17.8
2026-04-27,Great Britain,Liberal Democrats,11.73
2026-04-27,Great Britain,Plaid Cymru,1.15
2026-04-27,Great Britain,Reform UK,25.71
2026-04-27,Great Britain,SNP,2.77
2026-04-24,Great Britain,Other,5.52
2026-04-24,Great Britain,Conservative,18.13
2026-04-24,Great Britain,Green Party,17.0
2026-04-24,Great Britain,Labour,17.82
2026-04-24,Great Britain,Liberal Democrats,11.73
2026-04-24,Great Britain,Plaid Cymru,1.15
2026-04-24,Great Britain,Reform UK,25.91
2026-04-24,Great Britain,SNP,2.73
2026-04-23,Great Britain,Other,5.43
2026-04-23,Great Britain,Conservative,18.14
2026-04-23,Great Britain,Green Party,17.27
2026-04-23,Great Britain,Labour,17.74
2026-04-23,Great Britain,Liberal Democrats,11.82
2026-04-23,Great Britain,Plaid Cymru,1.16
2026-04-23,Great Britain,Reform UK,25.65
2026-04-23,Great Britain,SNP,2.79
2026-04-21,Scotland,Other,2.58
2026-04-21,Scotland,Conservative,10.54
2026-04-21,Scotland,Green Party,9.11
2026-04-21,Scotland,Labour,16.43
2026-04-21,Scotland,Liberal Democrats,8.76
2026-04-21,Scotland,Reform UK,20.17
2026-04-21,Scotland,SNP,32.78
2026-04-20,Great Britain,Other,5.2
2026-04-20,Great Britain,Conservative,18.45
2026-04-20,Great Britain,Green Party,16.58
2026-04-20,Great Britain,Labour,18.04
2026-04-20,Great Britain,Liberal Democrats,12.05
2026-04-20,Great Britain,Plaid Cymru,1.08
2026-04-20,Great Britain,Reform UK,25.8
2026-04-20,Great Britain,SNP,2.79
2026-04-17,Great Britain,Other,5.2
2026-04-17,Great Britain,Conservative,18.31
2026-04-17,Great Britain,Green Party,16.56
2026-04-17,Great Britain,Labour,18.31
2026-04-17,Great Britain,Liberal Democrats,11.97
2026-04-17,Great Britain,Plaid Cymru,1.08
2026-04-17,Great Britain,Reform UK,25.79
2026-04-17,Great Britain,SNP,2.79
2026-04-16,Great Britain,Other,5.36
2026-04-16,Great Britain,Conservative,18.32
2026-04-16,Great Britain,Green Party,16.88
2026-04-16,Great Britain,Labour,17.86
2026-04-16,Great Britain,Liberal Democrats,11.98
2026-04-16,Great Britain,Plaid Cymru,1.08
2026-04-16,Great Britain,Reform UK,25.73
2026-04-16,Great Britain,SNP,2.79
2026-04-15,Great Britain,Other,5.26
2026-04-15,Great Britain,Conservative,18.33
2026-04-15,Great Britain,Green Party,16.88
2026-04-15,Great Britain,Labour,17.88
2026-04-15,Great Britain,Liberal Democrats,12.07
2026-04-15,Great Britain,Plaid Cymru,1.08
2026-04-15,Great Britain,Reform UK,25.76
2026-04-15,Great Britain,SNP,2.74
2026-04-13,Great Britain,Other,5.21
2026-04-13,Great Britain,Conservative,18.32
2026-04-13,Great Britain,Green Party,16.81
2026-04-13,Great Britain,Labour,17.82
2026-04-13,Great Britain,Liberal Democrats,12.16
2026-04-13,Great Britain,Plaid Cymru,1.03
2026-04-13,Great Britain,Reform UK,25.89
2026-04-13,Great Britain,SNP,2.78
2026-04-09,Great Britain,Other,5.22
2026-04-09,Great Britain,Conservative,18.1
2026-04-09,Great Britain,Green Party,16.97
2026-04-09,Great Britain,Labour,17.84
2026-04-09,Great Britain,Liberal Democrats,11.95
2026-04-09,Great Britain,Plaid Cymru,1.1
2026-04-09,Great Britain,Reform UK,26.08
2026-04-09,Great Britain,SNP,2.85
2026-04-08,Great Britain,Other,5.25
2026-04-08,Great Britain,Conservative,18.14
2026-04-08,Great Britain,Green Party,17.15
2026-04-08,Great Britain,Labour,17.64
2026-04-08,Great Britain,Liberal Democrats,12.17
2026-04-08,Great Britain,Plaid Cymru,1.1
2026-04-08,Great Britain,Reform UK,25.84
2026-04-08,Great Britain,SNP,2.78
2026-04-07,Great Britain,Other,4.97
2026-04-07,Great Britain,Conservative,18.28
2026-04-07,Great Britain,Green Party,16.51
2026-04-07,Great Britain,Labour,18.06
2026-04-07,Great Britain,Liberal Democrats,12.31
2026-04-07,Great Britain,Plaid Cymru,1.03
2026-04-07,Great Britain,Reform UK,26.2
2026-04-07,Great Britain,SNP,2.71
2026-04-02,Great Britain,Other,4.91
2026-04-02,Great Britain,Conservative,18.06
2026-04-02,Great Britain,Green Party,16.63
2026-04-02,Great Britain,Labour,18.19
2026-04-02,Great Britain,Liberal Democrats,12.15
2026-04-02,Great Britain,Plaid Cymru,1.03
2026-04-02,Great Britain,Reform UK,26.4
2026-04-02,Great Britain,SNP,2.71
2026-03-31,Scotland,Other,2.58
2026-03-31,Scotland,Conservative,10.54
2026-03-31,Scotland,Green Party,9.04
2026-03-31,Scotland,Labour,16.13
2026-03-31,Scotland,Liberal Democrats,8.83
2026-03-31,Scotland,Reform UK,20.32
2026-03-31,Scotland,SNP,32.71
2026-03-30,Great Britain,Other,4.77
2026-03-30,Great Britain,Conservative,18.11
2026-03-30,Great Britain,Green Party,16.16
2026-03-30,Great Britain,Labour,18.58
2026-03-30,Great Britain,Liberal Democrats,12.25
2026-03-30,Great Britain,Plaid Cymru,1.03
2026-03-30,Great Britain,Reform UK,26.52
2026-03-30,Great Britain,SNP,2.66
2026-03-30,Scotland,Other,2.58
2026-03-30,Scotland,Conservative,10.62
2026-03-30,Scotland,Green Party,8.68
2026-03-30,Scotland,Labour,16.43
2026-03-30,Scotland,Liberal Democrats,8.84
2026-03-30,Scotland,Reform UK,20.4
2026-03-30,Scotland,SNP,32.59
2026-03-29,Scotland,Other,2.37
2026-03-29,Scotland,Conservative,10.63
2026-03-29,Scotland,Green Party,8.47
2026-03-29,Scotland,Labour,16.38
2026-03-29,Scotland,Liberal Democrats,8.91
2026-03-29,Scotland,Reform UK,20.77
2026-03-29,Scotland,SNP,32.54
2026-03-27,Great Britain,Other,4.76
2026-03-27,Great Britain,Conservative,17.89
2026-03-27,Great Britain,Green Party,16.35
